artist,track,album,played_at
Travi$ Scott,Drugs You Should Try It,Days Before Rodeo,2025-08-27 12:30:42
Travi$ Scott,Drugs You Should Try It,Days Before Rodeo,2025-08-27 12:34:05
Travi$ Scott,Drugs You Should Try It,Days Before Rodeo,2025-08-27 12:34:11
Travi$ Scott,Quintana Pt. 2,Days Before Rodeo,2025-08-27 13:09:42
Young Thug,Die Today,So Much Fun (Deluxe),2025-08-27 13:56:33
Young Thug,Die Today,So Much Fun (Deluxe),2025-08-27 13:56:35
Young Thug,Die Today,So Much Fun (Deluxe),2025-08-27 14:00:16
Young Thug,Die Today,So Much Fun (Deluxe),2025-08-27 14:00:17
Young Thug,Die Today,So Much Fun (Deluxe),2025-08-27 14:03:16
Young Thug,Die Today,So Much Fun (Deluxe),2025-08-27 14:03:18
Young Thug,Die Today,So Much Fun (Deluxe),2025-08-27 14:06:17
Young Thug,Die Today,So Much Fun (Deluxe),2025-08-27 14:06:19
Young Thug,Die Today,So Much Fun (Deluxe),2025-08-27 14:09:20
Young Thug,Die Today,So Much Fun (Deluxe),2025-08-27 14:10:45
